IV1,IV2,DV,w,d,meanTCT
20,450,0.0108463,,,
30,300,0.012469,,,
30,450,0.0100411,,,
10,150,0.0085246,,,
20,150,0.0107984,,,
10,300,0.0122687,,,
10,450,0.0094534,,,
20,300,0.0134143,,,
10,300,0.0265033,,,
10,450,0.011949,,,
10,150,0.0096612,,,
20,150,0.0086223,,,
20,450,0.0083492,,,
30,300,0.0100433,,,
20,300,0.0112527,,,
10,600,0.0098027,,,
30,600,0.0101518,,,
20,600,0.0101454,,,
30,450,0.0147424,,,
30,150,0.0117044,,,
20,450,0.0213934,,,
20,300,0.0108929,,,
30,300,0.0067791,,,
30,450,0.0126329,,,
10,300,0.0107986,,,
10,450,0.0125418,,,
10,600,0.009887,,,
20,600,0.0116559,,,
20,150,0.0084998,,,
30,600,0.0085625,,,
30,150,0.0097481,,,
10,150,0.0094199,,,
20,150,0.0256324,,,
30,450,0.010248,,,
30,600,0.0083578,,,
10,300,0.0098127,,,
10,600,0.0079667,,,
20,600,0.0116261,,,
20,300,0.0111871,,,
30,150,0.0146052,,,
30,300,0.0117803,,,
10,450,0.0105475,,,
20,450,0.0083981,,,
10,150,0.0141377,,,
10,450,0.0225908,,,
30,150,0.0100665,,,
30,600,0.0095101,,,
20,600,0.0111468,,,
10,600,0.009394,,,
10,150,0.0078539,,,
10,300,0.0117955,,,
20,300,0.0107978,,,
30,300,0.0094236,,,
30,450,0.0104529,,,
20,150,0.0096356,,,
20,450,0.0101204,,,
10,150,0.0188517,,,
10,300,0.0128834,,,
20,150,0.0118127,,,
10,600,0.0106987,,,
20,300,0.0104709,,,
10,450,0.0099222,,,
30,300,0.0120936,,,
20,600,0.0125923,,,
20,450,0.0099466,,,
30,600,0.0132237,,,
30,150,0.0124895,,,
30,450,0.0107094,,,
20,150,0.0195604,,,
30,300,0.010464,,,
10,150,0.0123942,,,
30,450,0.0084311,,,
10,600,0.0112191,,,
10,450,0.0084058,,,
20,450,0.0086296,,,
10,300,0.0129817,,,
30,150,0.0123381,,,
30,600,0.0108128,,,
20,300,0.0080452,,,
20,600,0.009527,,,
30,450,0.0197056,,,
10,150,0.0110703,,,
10,300,0.008033,,,
30,150,0.0071843,,,
20,150,0.0082837,,,
10,450,0.007154,,,
20,600,0.0077989,,,
30,300,0.0107114,,,
20,300,0.0128316,,,
30,600,0.0105033,,,
10,600,0.0115159,,,
20,450,0.0106102,,,
20,300,0.0173011,,,
10,600,0.0100504,,,
30,150,0.0112661,,,
20,150,0.0104054,,,
20,600,0.0100453,,,
30,600,0.0081991,,,
10,150,0.0123952,,,
10,300,0.0081448,,,
30,300,0.0105203,,,
20,450,0.0078181,,,
30,450,0.008757,,,
10,450,0.0120787,,,
30,450,0.0190416,,,
30,600,0.0100608,,,
20,300,0.01195,,,
20,600,0.0088702,,,
20,450,0.0112559,,,
10,300,0.0075693,,,
20,150,0.0112389,,,
30,300,0.0137065,,,
10,150,0.0084877,,,
30,150,0.0082351,,,
10,600,0.0105178,,,
10,450,0.0092155,,,
10,600,0.0208669,,,
20,600,0.0081669,,,
30,300,0.0089398,,,
30,450,0.0091738,,,
30,150,0.0113898,,,
20,450,0.0097681,,,
10,150,0.0137076,,,
20,300,0.0076554,,,
20,150,0.0116288,,,
10,450,0.0081799,,,
10,300,0.0119974,,,
30,600,0.0101794,,,
30,600,0.0228551,,,
10,300,0.0107373,,,
10,150,0.0119801,,,
20,300,0.0109381,,,
30,150,0.0076697,,,
30,450,0.0133032,,,
10,450,0.0138192,,,
20,150,0.0126506,,,
30,300,0.0126178,,,
10,600,0.0148751,,,
20,450,0.0124458,,,
20,600,0.0142892,,,
20,300,0.0239263,,,
30,300,0.0132923,,,
30,150,0.0148652,,,
20,450,0.010846,,,
10,150,0.013489,,,
20,150,0.0105767,,,
30,450,0.0124644,,,
20,600,0.0135685,,,
10,300,0.011213,,,
10,600,0.0114513,,,
30,600,0.0128971,,,
10,450,0.011292,,,
