size,distance,Time.deltaTime,,"IV1
(1=0.05,  2=0.1,  3=0.2)","IV2
(1 = 3, 2 = 6, 3 = 9, 4 = 12)",DV
0.1,9,0.0099076,,2,3,
0.1,6,0.011088,,2,2,
0.2,6,0.0101247,,3,2,
0.2,12,0.0097481,,3,4,
0.05,3,0.0068338,,1,1,
0.2,3,0.0088774,,3,1,
0.05,12,0.0215657,,1,4,
0.2,9,0.0093186,,3,3,
0.2,3,0.010449,,3,1,
0.05,6,0.0103441,,1,2,
0.05,3,0.0124477,,1,1,
0.05,9,0.0102025,,1,3,
0.2,6,0.0095298,,3,2,
0.1,9,0.011056,,2,3,
0.1,3,0.0094365,,2,1,
0.1,6,0.0125327,,2,2,
0.2,12,0.0099603,,3,4,
0.1,12,0.010243,,2,4,
0.05,12,0.0208369,,1,4,
0.1,6,0.0103629,,2,2,
0.05,3,0.0102032,,1,1,
0.05,9,0.0094395,,1,3,
0.2,6,0.0106245,,3,2,
0.2,3,0.0116707,,3,1,
0.2,12,0.0103901,,3,4,
0.1,3,0.0141372,,2,1,
0.05,6,0.0098466,,1,2,
0.1,12,0.0100004,,2,4,
0.1,9,0.0097245,,2,3,
0.2,9,0.0106379,,3,3,
0.05,6,0.0210678,,1,2,
0.1,9,0.0093481,,2,3,
0.2,12,0.0095219,,3,4,
0.1,6,0.0099557,,2,2,
0.2,9,0.0129322,,3,3,
0.2,6,0.0085599,,3,2,
0.05,9,0.0109571,,1,3,
0.2,3,0.0131541,,3,1,
0.05,3,0.0090016,,1,1,
0.1,12,0.0084791,,2,4,
0.05,12,0.0096782,,1,4,
0.1,3,0.0078194,,2,1,
0.1,9,0.0212981,,2,3,
0.1,12,0.0134684,,2,4,
0.2,12,0.007581,,3,4,
0.05,6,0.010084,,1,2,
0.2,9,0.0093593,,3,3,
0.05,3,0.0118279,,1,1,
0.1,6,0.0159147,,2,2,
0.2,6,0.006542,,3,2,
0.1,3,0.0064023,,2,1,
0.05,9,0.0113137,,1,3,
0.2,3,0.0107804,,3,1,
0.05,12,0.0114856,,1,4,
0.2,9,0.0177122,,3,3,
0.05,9,0.0124971,,1,3,
0.1,6,0.0098898,,2,2,
0.05,3,0.010696,,1,1,
0.2,12,0.0160193,,3,4,
0.1,3,0.0109034,,2,1,
0.2,6,0.0107309,,3,2,
0.1,9,0.0127126,,2,3,
0.2,3,0.0084229,,3,1,
0.05,6,0.0099796,,1,2,
0.1,12,0.0090172,,2,4,
0.05,12,0.0101254,,1,4,
0.05,9,0.0189236,,1,3,
0.1,3,0.0094568,,2,1,
0.2,3,0.0098814,,3,1,
0.05,12,0.0106079,,1,4,
0.2,6,0.0127848,,3,2,
0.05,3,0.0091791,,1,1,
0.05,6,0.0102925,,1,2,
0.1,12,0.0079529,,2,4,
0.2,12,0.0133594,,3,4,
0.2,9,0.0081081,,3,3,
0.1,6,0.0093361,,2,2,
0.1,9,0.0094205,,2,3,
0.05,12,0.0198941,,1,4,
0.05,3,0.009127,,1,1,
0.05,9,0.0108671,,1,3,
0.05,6,0.0120554,,1,2,
0.2,6,0.0094551,,3,2,
0.1,6,0.0098144,,2,2,
0.1,3,0.0097319,,2,1,
0.1,12,0.0102419,,2,4,
0.2,12,0.0101132,,3,4,
0.1,9,0.0082111,,2,3,
0.2,3,0.0103064,,3,1,
0.2,9,0.0067373,,3,3,
0.2,3,0.0211244,,3,1,
0.2,9,0.0096738,,3,3,
0.05,9,0.0095943,,1,3,
